scenario,register,text
a family argument,neutral,"We disagreed about the holiday plans at dinner. Voices were raised, and the conversation ended without a resolution."
a family argument,understated,"Dinner got a little tense over the holiday plans. We didn't really settle it, but it's not the end of the world."
a family argument,dramatic,"Years of things we never said finally broke open across that dinner table, and I saw the hurt in my mother's eyes that I had spent a lifetime pretending wasn't there. Something between us changed tonight, and I don't yet know if it can be mended."
a family argument,melodramatic,"In one catastrophic instant our family was rent asunder forever, our bonds dissolved like ash upon a bitter wind, and I shall carry this unspeakable betrayal as a dagger lodged eternally in my bleeding heart! Nothing, nothing can ever undo this apocalypse!"
winning a small prize,neutral,I entered the office raffle and my number was drawn. The prize was a ten-dollar coffee gift card.
winning a small prize,understated,"Turns out my raffle ticket won. It's only a coffee gift card, but I'll admit it made my morning a little better."
winning a small prize,dramatic,"After the year I've had, hearing my name called felt like the universe finally throwing me a bone. I clutched that little gift card like it actually meant something, because right now, it does."
winning a small prize,melodramatic,"When they read my number, my knees buckled and tears streamed down my face as if fate itself had chosen me above all others. This coffee card is the single greatest triumph of my entire existence, and I shall treasure it until my dying breath."
a flat tire,neutral,My front tire went flat on the way home. I pulled over and changed it with the spare.
a flat tire,understated,"Picked up a flat on the drive home. Not how I wanted to spend twenty minutes, but it could have been worse."
a flat tire,dramatic,"The tire blew on the highway shoulder with semis screaming past inches from my door, and for a few minutes I genuinely wondered if I'd make it home in one piece. My hands were still shaking when I finally got the spare on."
a flat tire,melodramatic,"A flat tire? No, this is the cruel hand of destiny conspiring to destroy me, leaving me stranded and abandoned at the very edge of the abyss. I sank to the pavement and wept, certain that nothing in my shattered life would ever be whole again."
a delayed flight,neutral,My flight was delayed by three hours. I waited at the gate until it boarded.
a delayed flight,understated,"The flight got pushed back a few hours. A bit of a nuisance, but I had a book, so I managed."
a delayed flight,dramatic,"Every hour that board ticked later was another hour I might miss saying goodbye to my grandfather, and I sat there helpless, watching the minutes bleed away. By the time we boarded I was praying the plane could somehow outrun the time I'd already lost."
a delayed flight,melodramatic,"Three whole hours, an eternity of suffering no mortal should be forced to endure, as I languished in that terminal like a prisoner forgotten by a heartless world. I flung myself across the seats and cried out that my entire life had been ruined beyond all hope of repair."
meeting an old friend,neutral,I ran into an old friend at the grocery store. We talked for a few minutes and then went our separate ways.
meeting an old friend,understated,"Bumped into someone I used to know at the store. It was nice, actually; we said we should catch up sometime."
meeting an old friend,dramatic,"I hadn't seen her since the funeral, since the worst stretch of both our lives, and when our eyes met across the aisle the years just collapsed between us. We held on to each other right there by the produce, and I realized how much I'd missed having someone who truly knew me."
meeting an old friend,melodramatic,"When I beheld his face after all this time, the very heavens seemed to part and my soul was reborn from the ashes of its loneliness. I threw my arms around him sobbing that he was the missing half of my heart, the one true love of my life returned to me at last."
a child's first day of school,neutral,She started kindergarten on Monday. Her mother dropped her off at 8 a.m. and picked her up at noon.
a child's first day of school,understated,I waved from the car and she walked in without looking back. I sat there a minute longer than I needed to before driving off.
a child's first day of school,dramatic,"When her small hand let go of mine at the door, I felt the whole shape of the years ahead—every goodbye that would come after this one. She walked in, and I stood there breathing carefully, because something had just begun that I could never undo."
a child's first day of school,melodramatic,"As she crossed that threshold I crumpled against the fence, sobbing into my scarf that my baby, my whole world, was being torn from my arms forever! Nothing, nothing would ever be the same, and I may never recover from this devastating, soul-crushing morning!"
a retirement,neutral,"He retired after thirty-two years at the company. His last day was Friday, and there was a small gathering in the break room."
a retirement,understated,"He cleaned out his desk, kept the one photo, and shook a few hands on the way out. It was strange, locking the drawer for the last time, but he supposed that was that."
a retirement,dramatic,"Thirty-two years of mornings ended in a single quiet handshake, and he understood, standing in that emptied office, that a part of who he was had just closed behind him. He walked to his car slowly, carrying the weight of a life's work and the strange terror of waking up tomorrow with nowhere to be."
a retirement,melodramatic,"As the clock struck five he threw his arms wide and cried out that his glory days were OVER, that he was being cast aside like a withered husk onto the cruel scrap-heap of the forgotten! Oh, what is a man without his work—nothing, NOTHING, a hollow ghost wandering the ruins of his shattered purpose!"
a house fire,neutral,"A fire broke out in the kitchen around 9 p.m. and spread to the second floor. The family evacuated, and firefighters contained it within an hour."
a house fire,understated,"We got everyone out, which is the main thing. The house is mostly gone, but it's just a house, and we'll sort it out."
a house fire,dramatic,"We stood across the street and watched the windows glow orange while everything we had built turned to smoke, and all I could think was that my children were beside me, breathing, alive. The house was burning, and I have never in my life been so grateful and so afraid at the same time."
a house fire,melodramatic,"The flames rose like the very jaws of hell to devour our precious, irreplaceable lives, and I fell to my knees on the lawn wailing to the heavens that we were doomed, DOOMED, abandoned by God and fortune alike! Everything beautiful was being consumed, and I knew in that apocalyptic instant that the world itself had ended!"
reconciling with a parent,neutral,She spoke with her father for the first time in six years. They met for coffee on Sunday and agreed to stay in touch.
reconciling with a parent,understated,"We hadn't talked in a while. He said he was sorry, I said me too, and we left it at that—but I'm glad I went."
reconciling with a parent,dramatic,"After six years of silence my father said my name, and the wall I had built so carefully simply gave way; we sat across that table and wept for everything we had wasted. I didn't know if it could ever be whole again, but for the first time in years I let myself hope."
reconciling with a parent,melodramatic,"I flung myself into his arms across the café, sobbing that the long, agonizing exile of my broken heart was finally, miraculously over after an eternity of unbearable suffering! The angels themselves wept with us, two shattered souls reborn in a single holy embrace, healed forever in this most sacred and momentous reunion of all time!"
a failed exam,neutral,I took the exam last week and did not pass. The result was posted on the portal this morning.
a failed exam,understated,"Well, I didn't pass. Not the result I was hoping for, but I'll figure out the next step."
a failed exam,dramatic,"I failed, and it gutted me—I'd staked the whole year on this, and watching it slip away left me sitting in my car unable to move. Everything I'd planned for now hangs on whether I can claw my way back."
a failed exam,melodramatic,"My life is utterly, irrevocably destroyed—this single failed exam has shattered every dream I ever dared to hold, and I shall never, ever recover from this catastrophe! There is simply no point in going on; the universe itself has conspired to ruin me."
a wedding toast,neutral,"The best man gave a toast at the reception. It lasted about three minutes, and then everyone drank."
a wedding toast,understated,"I said a few words for them at dinner. They're good people, and I'm glad it went over alright."
a wedding toast,dramatic,"I stood up, looked at my oldest friend, and my voice broke—after everything we'd survived together, watching her marry the person who finally made her happy meant more than I had words for. The whole room went quiet, and I realized I was crying before I'd finished the first sentence."
a wedding toast,melodramatic,"Ladies and gentlemen, never in the entire history of love has such a divine, earth-shattering union graced this mortal world, and I am but a trembling vessel overcome by the sheer cosmic magnitude of their devotion! I weep, I tremble, I can scarcely lift my glass before such transcendent, world-altering perfection!"
getting locked out,neutral,I left my keys inside and the door locked behind me. I waited outside until the locksmith arrived.
getting locked out,understated,"Shut the door without my keys. Bit of a nuisance, but I sorted it out eventually."
getting locked out,dramatic,"The door clicked shut and my stomach dropped—it was below freezing, my phone was dying inside, and I had nowhere to go. Standing there in the dark, pounding on my own door, I felt genuinely afraid for the first time in months."
getting locked out,melodramatic,"Cast out, abandoned, forsaken by my own home—I stood at that pitiless door as though banished from paradise itself, a broken soul wandering the cruel wilderness of my doormat! Why, oh why, must fate torment me so mercilessly over a single forgotten key?"
a promotion at work,neutral,My manager told me I'm being promoted to senior analyst. The new title takes effect next month.
a promotion at work,understated,"They bumped me up to senior. It's a nice bit of recognition, and I won't pretend I'm not pleased."
a promotion at work,dramatic,"When she said the word 'promotion,' I had to grip the edge of the desk—two years of doubting whether I belonged here, and suddenly all of it meant something. I called my mom from the stairwell and could barely get the words out before I started crying."
a promotion at work,melodramatic,"I have ascended! This promotion is nothing less than the crowning glory of human achievement, the very pinnacle of destiny, and I shall remember this sacred, immortal moment until my dying breath and beyond! Let the heavens sing, for I have been chosen above all mankind!"
