subconcept,polarity,text
stakes,low,"We debated for a moment about which cereal to buy, then shrugged and tossed both in the cart."
stakes,low,It barely matters if I water the plant today or tomorrow; it'll be fine either way.
stakes,low,"I forgot which sock I put on first this morning, and honestly nothing about my day depended on it."
stakes,low,"Whether we take the slightly longer route or the shorter one, we'll get there at about the same time."
stakes,low,"She wondered if she should reorganize the spice rack alphabetically, but figured it made no real difference."
stakes,low,"I picked the window seat over the aisle, though either would have been perfectly fine for a ten-minute ride."
stakes,low,"We couldn't agree on which movie to rewatch, but since we'd both seen them, it didn't matter at all."
stakes,low,"He left a typo in the grocery list, but everyone knew he meant bananas anyway."
stakes,low,Should I fold the towels in thirds or in halves? Either way they fit in the closet just the same.
stakes,low,"I let my coffee go a little cold while chatting, but a quick reheat fixed it and nothing was lost."
stakes,low,"We argued playfully over whether the couch pillow looked better on the left or the right, then moved on."
sincerity,high,"When she handed me the worn photo of my late mother, my throat tightened and I whispered, thank you, I will treasure this for the rest of my life."
sincerity,high,"I'm sorry I let you down last week. I've been thinking about it every night, and I really do want to make things right between us."
sincerity,high,"Standing at the finish line, my dad pulled me into a hug and said, I am so proud of you, and I could feel his voice break against my shoulder."
sincerity,high,Thank you for sitting with me in the hospital all those hours. I don't know how I would have gotten through that night without you.
sincerity,high,"I love you more than I know how to say, and even after forty years I still feel lucky every morning I wake up beside you."
sincerity,high,"When the teacher told me my essay moved her to tears, I felt my own eyes sting because writing it had cost me so much honesty."
sincerity,high,I just want you to know how much your friendship has meant to me through all of this. You truly saved me.
sincerity,high,"He knelt in the rain at the grave and said softly, I miss you every single day, and I always will."
sincerity,high,"Congratulations on the baby. Holding her for the first time, I felt my heart swell with a joy I didn't know I had in me."
sincerity,high,"I mean this from the bottom of my heart: you changed my life when you believed in me, and I will never forget it."
sincerity,high,"When my little brother handed me his only dollar to help with rent, I had to look away so he wouldn't see me cry."
sincerity,high,"I forgive you, truly. I've carried this anger for years and I'm so tired, and all I want now is for us to heal."
sincerity,low,"Oh wow, a coffee mug with my name spelled wrong. Truly, you shouldn't have, and I mean that with every fiber of my being."
sincerity,low,"Sure, I'm devastated about the meeting getting moved to Monday, I'll be weeping into my pillow all weekend, obviously."
sincerity,low,"Thoughts and prayers, babe. Anyway, did you see what she wore to the funeral? Tragic, and not because of the death."
sincerity,low,I'm so deeply touched you remembered my birthday with a copy-pasted message you sent to four hundred other people.
sincerity,low,"Wow, congrats on the promotion you definitely earned and not because the boss is your uncle. So inspiring, really."
sincerity,low,"Oh no, your houseplant died, how will any of us go on. I'm setting up a memorial fund as we speak."
sincerity,low,"I cried, I laughed, I lived, I died, watching you parallel park for nine straight minutes. A cinematic masterpiece, honestly."
sincerity,low,Of course I value our friendship. That's why I liked your post and immediately forgot you existed until I needed a favor.
sincerity,low,"Apologies for the inconvenience, sincerely, the corporation that just doubled your fees and removed the customer service line."
sincerity,low,"Oh you ran a 5k? Groundbreaking. Someone alert the Olympic committee, we've found our next gold medalist right here."
sincerity,low,"I'm overwhelmed with emotion, truly, by your inspirational quote posted over a stock photo of a sunset you didn't take."
sincerity,low,"No really, tell me more about your juice cleanse, I'm hanging on every word, this is the content I was put on earth to receive."
sincerity,low,"So sorry for your loss, said the realtor, eyeing the house, already imagining the listing photos before the casket closed."
excess_sentimentality,high,"Oh, my darling little teapot, every time you pour I weep with the bittersweet ache of all the tender mornings we have shared and ever shall, you precious, faithful soul."
excess_sentimentality,high,"When the bus driver waved goodbye, my heart shattered into a thousand glittering pieces and tears streamed down my cheeks for this beautiful, fleeting, achingly perfect human connection."
excess_sentimentality,high,"My sweet, sweet houseplant, you are the truest friend my trembling soul has ever known, and I shall cherish your every dewy leaf until the stars themselves grow cold and weary."
excess_sentimentality,high,"Receiving your text message filled my entire being with such overwhelming, soul-quaking joy that I clutched the phone to my chest and sobbed at the boundless miracle of your love."
excess_sentimentality,high,"Oh, the way the toast popped up this morning, golden and warm, reminded me of grandmother's tender hands, and I wept openly into my napkin for the precious, irreplaceable wonder of it all."
excess_sentimentality,high,"My darling new sneakers, you carried me through this cruel and beautiful world today, and my heart overflows with tearful gratitude for your loyal, selfless, ever-faithful little soles."
excess_sentimentality,high,"When the kitten yawned, I gasped and pressed my hand to my breaking heart, for surely no creature has ever embodied such pure, heaven-sent, tear-jerking innocence and angelic grace."
excess_sentimentality,high,"Every single raindrop on the window tonight is a tiny tear from the heavens weeping with me over the unbearable, exquisite, soul-deep tenderness of simply being alive together, you and I."
excess_sentimentality,high,"Oh, my cherished morning coffee, you embrace me like a long-lost love, and I tremble with gratitude and weep softly at the breathtaking, heart-melting devotion in every precious steaming sip."
excess_sentimentality,high,"The cashier smiled at me and in that single shimmering moment my whole heart bloomed like a thousand roses, and I nearly fell to my knees weeping at the sacred, eternal beauty of kindness."
excess_sentimentality,high,"My dearest, most beloved umbrella, you sheltered my weary head from the storm like a guardian angel sent from heaven, and my eyes well with tears at your tender, unwavering, selfless devotion."
excess_sentimentality,high,"As the elevator doors closed on that stranger forever, my soul ached with bottomless longing and I wept for the heartbreaking, fleeting, infinitely precious tapestry of human togetherness."
excess_sentimentality,low,"The teapot works fine; it pours without dripping, which is what I wanted."
excess_sentimentality,low,The bus driver waved as he pulled away. I waved back and walked to the office.
excess_sentimentality,low,The houseplant needs watering about twice a week and gets indirect light by the window.
excess_sentimentality,low,I got your text and replied that I can meet at three on Thursday.
excess_sentimentality,low,"The toast came out a bit dark this morning, so I lowered the setting by one notch."
excess_sentimentality,low,The new sneakers fit well and held up fine on the walk to work today.
excess_sentimentality,low,The kitten yawned and then went back to sleep on the chair.
excess_sentimentality,low,"It rained tonight, so I closed the window and turned on the lamp to read."
excess_sentimentality,low,The coffee was a little weak this morning; I'll use one more scoop tomorrow.
excess_sentimentality,low,"The cashier rang me up and I paid with my card, then headed home."
excess_sentimentality,low,"The umbrella kept the rain off on the walk over, though one of the spokes is bent."
excess_sentimentality,low,"The elevator was crowded, so I waited and took the next one up to the fourth floor."
shock,high,She was reaching for her coffee when the café window exploded inward and a car came barreling through the seats where she'd been sitting seconds before.
shock,high,"He answered the door expecting a delivery, and a man lunged at him with a knife, the blade flashing under the porch light."
shock,high,The teacher was writing on the board when a deafening crash split the air and the ceiling collapsed onto the front row of desks.
shock,high,"Mid-sentence during the toast, the groom suddenly clutched his chest, blood blooming across his white shirt as a shot rang out across the hall."
shock,high,They were laughing on the hiking trail when the ground gave way and her friend vanished over the cliff edge with a scream.
shock,high,He turned the corner of the grocery aisle and froze as a stranger swung a metal bar straight at the cashier's head.
shock,high,"The subway doors opened normally, then a man shoved a passenger off the platform into the path of the incoming train."
shock,high,She unwrapped the birthday present and recoiled as a spring-loaded blade snapped up out of the box toward her face.
shock,high,"Halfway through dinner the kitchen erupted in flames, and her husband was suddenly engulfed before anyone could move."
shock,high,"The referee blew the whistle, and out of nowhere a player slammed his rival to the turf, the snap of bone echoing through the silent stadium."
shock,high,"As the elevator doors slid shut, a hand yanked the old woman back and a stranger pressed a gun to her temple."
shock,high,"He was filming the parade when a truck plowed into the crowd, bodies flung into the air amid the screaming."
shock,low,"She poured her usual cup of coffee, stirred in one sugar, and read the morning paper at the kitchen table."
shock,low,"He took out the recycling on Tuesday morning, just like every other week, then walked back inside to make toast."
shock,low,"The teacher took attendance, handed back the graded worksheets, and asked the class to open their textbooks to page forty."
shock,low,"They sat through the long toast, clinked their glasses, and quietly ate the chicken dinner that the caterers served."
shock,low,"The two friends walked the flat park loop, chatted about the weather, and stopped at the bench for a water break."
shock,low,"He pushed his cart down the cereal aisle, compared two prices, and added the cheaper box to his basket."
shock,low,"The subway arrived on schedule, the passengers shuffled aboard, and she found a seat and opened her book."
shock,low,"She unwrapped the birthday present, found the sweater she'd asked for, and folded it neatly back into the box."
shock,low,"They finished dinner, rinsed the plates, and loaded the dishwasher before settling onto the couch to watch the news."
shock,low,"The referee blew the whistle for halftime, the players jogged off, and the crowd lined up for snacks as usual."
shock,low,"The elevator arrived, the old woman stepped in, pressed the button for the third floor, and waited as the doors closed."
shock,low,"He stood along the route, watched the marching band pass, and waved at the floats drifting slowly by in the sunshine."
restraint,high,"When the doctor delivered the diagnosis, she folded her hands in her lap, nodded once, and asked her questions in a steady, even voice."
restraint,high,"He read the rejection letter, set it quietly on the desk, and returned to his work without a word."
restraint,high,"At the graveside, the old man stood straight-backed and silent, his face composed as the casket was lowered."
restraint,high,"Though her hands trembled slightly, she kept her chin level and thanked the panel calmly for their time."
restraint,high,"When his team lost the championship, the coach offered a measured handshake and a quiet 'well played' before walking off."
restraint,high,"She received the news of the layoff with a small nod, gathered her things neatly, and said goodbye to her colleagues with grace."
restraint,high,"Even as the insults flew, he answered in a low, level tone, his expression unchanging."
restraint,high,"The widow accepted each condolence with a composed, dignified nod, her grief held firmly behind a calm face."
restraint,high,"He swallowed hard, took a slow breath, and replied to the criticism with quiet, controlled politeness."
restraint,high,"When the verdict was read, she sat motionless, her hands still, betraying nothing of what she felt inside."
restraint,high,"Despite the disappointment, the soldier kept his bearing, saluted crisply, and accepted the orders without complaint."
restraint,high,"He held his composure throughout the eulogy, voice steady, only the faint tightening of his jaw hinting at his sorrow."
restraint,low,"The moment she heard the news, she collapsed into sobs, wailing and clutching at anyone who came near."
restraint,low,"He hurled the letter across the room, screaming and pounding his fists against the wall."
restraint,low,"At the graveside she threw herself onto the casket, shrieking and begging it not to be true."
restraint,low,"Tears streamed down his face as he ranted and gestured wildly, his voice cracking into shouts."
restraint,low,"When his team lost, he ripped off his jersey, kicked over a bench, and howled curses at the sky."
restraint,low,"She burst into hysterical tears in the meeting, gasping and sobbing as papers scattered from her shaking hands."
restraint,low,"He exploded at the slightest remark, red-faced and bellowing, spit flying as he jabbed his finger in their faces."
restraint,low,"The widow flung herself to the floor, beating her chest and crying out her husband's name again and again."
restraint,low,"At the first hint of criticism he broke down, blubbering and wailing that no one understood him."
restraint,low,"When the verdict came she leapt up screaming, knocking over her chair and dissolving into uncontrollable sobs."
restraint,low,"He stormed through the house slamming doors, shrieking and sweeping dishes off the counter in a frenzy."
restraint,low,"The moment the music started she burst into loud, gulping tears, throwing her arms around strangers and sobbing into their shoulders."
